Constituency,ONSConstID,Constituency,Region,CON_GE19,LAB_GE19,LIBDEM_GE19,GRN_GE19,SNP_GE19,PC_GE19,BXP_GE19,UKIP_GE19,OTHER_GE19,Registered Voters_GE19,Turnout_GE19,Winner_GE19
Norwich South,E14000864,Norwich South,East,15006,27766,4776,2469,,,1656,,0,"77,845",0.66,Labour
Pendle,E14000875,Pendle,North West,24076,17890,1548,678,,,,,268,"65,289",0.68,Conservative
Peterborough,E14000878,Peterborough,East,"22,334","19,754","2,334",728,,,"2,127",,524,"72,560",0.66,Conservative
Preston,E14000885,Preston,North West,8724,20870,1737,660,,,1799,,0,"59,672",0.57,Labour
Redcar,E14000891,Redcar,North East,18811,15284,2018,491,,,2915,,1323,"65,855",0.62,Conservative
Reigate,E14000893,Reigate,South East,28665,10355,10320,3169,,,,647,0,"74,842",0.71,Conservative
Rochdale,E14000897,Rochdale,North West,14807,24475,3312,986,,,3867,,0,"78,909",0.60,Labour
Rochford & Southend East,E14000899,Rochford & Southend East,East,27063,14777,2822,,,,,,1474,"75,624",0.61,Conservative
Romford,E14000900,Romford,London,30494,12601,2708,1428,,,,,0,"72,350",0.65,Conservative
Saffron Walden,E14000910,Saffron Walden,East,39714,8305,12120,2947,,,,,0,"87,017",0.73,Conservative
Salford & Eccles,E14000911,Salford & Eccles,North West,12428,28755,3099,2060,,,4290,,0,"82,202",0.62,Labour
Sedgefield,E14000915,Sedgefield,North East,19609,15096,1955,994,,,3518,,394,"64,325",0.65,Conservative
Sevenoaks,E14000918,Sevenoaks,South East,30932,6946,10114,1974,,,,,990,"71,777",0.71,Conservative
Sheffield Central,E14000919,Sheffield Central,Yorkshire and The Humber,6695,33968,3237,4570,,,1969,,474,"89,849",0.57,Labour
Sheffield South East,E14000920,Sheffield South East,Yorkshire and The Humber,15070,19359,2125,,,,4478,,966,"67,832",0.62,Labour
Sheffield Brightside & Hillsborough,E14000921,Sheffield Brightside & Hillsborough,Yorkshire and The Humber,10095,22369,1517,1179,,,3855,585,0,"69,333",0.57,Labour
Sheffield Hallam,E14000922,Sheffield Hallam,Yorkshire and The Humber,14696,19709,18997,1630,,,1562,168,123,"72,763",0.78,Labour
Sheffield Heeley,E14000923,Sheffield Heeley,Yorkshire and The Humber,12955,21475,2916,1811,,,3538,,0,"66,940",0.64,Labour
Shrewsbury & Atcham,E14000926,Shrewsbury & Atcham,West Midlands,31021,19804,5906,1762,,,,,572,"82,237",0.72,Conservative
Sittingbourne & Sheppey,E14000927,Sittingbourne & Sheppey,South East,34742,10263,3213,1188,,,,,1988,"83,917",0.61,Conservative
Cambridgeshire South,E14000934,Cambridgeshire South,East,31015,7803,28111,,,,,,0,"87,288",0.77,Conservative
Derbyshire South,E14000935,Derbyshire South,East Midlands,33502,14167,3924,1788,,,,,0,"79,365",0.67,Conservative
South Holland & The Deepings,E14000939,South Holland & The Deepings,East Midlands,37338,6500,3225,1613,,,,,503,"75,990",0.65,Conservative
South Ribble,E14000943,South Ribble,North West,30028,18829,3720,1207,,,,,0,"75,344",0.71,Conservative
Southend West,E14000957,Southend West,East,27555,13096,5312,,,,,,574,"69,043",0.67,Conservative
Southport,E14000958,Southport,North West,22914,18767,6499,,,,,,0,"70,837",0.68,Conservative
Stafford,E14000965,Stafford,West Midlands,29992,15615,3175,2367,,,,,0,"72,572",0.70,Conservative
Staffordshire Moorlands,E14000966,Staffordshire Moorlands,West Midlands,28192,11764,2469,1231,,,,,0,"65,485",0.67,Conservative
Stevenage,E14000968,Stevenage,East,25328,16766,4132,1457,,,,,0,"71,562",0.67,Conservative
Stroud,E14000980,Stroud,South West,31582,27742,,4954,,,1085,,567,"84,536",0.78,Conservative
Suffolk Coastal,E14000981,Suffolk Coastal,East,32958,12425,8719,2713,,,,,1493,"81,910",0.71,Conservative
Surrey Heath,E14000983,Surrey Heath,South East,34358,5407,16009,2252,,,,628,0,"81,349",0.72,Conservative
Sutton Coldfield,E14000985,Sutton Coldfield,West Midlands,31604,12332,6358,2031,,,,,0,"75,638",0.69,Conservative
Telford,E14000989,Telford,West Midlands,25546,14605,2674,,,,,,0,"68,921",0.62,Conservative
"Cotswolds, The",E14000991,"Cotswolds, The",South West,35484,7110,15270,3312,,,,,0,"81,939",0.75,Conservative
"Wrekin, The",E14000992,"Wrekin, The",West Midlands,31029,12303,4067,1491,,,,,0,"70,693",0.69,Conservative
Tonbridge & Malling,E14000997,Tonbridge & Malling,South East,35784,8286,8843,4090,,,,,0,"77,380",0.74,Conservative
Tunbridge Wells,E14001004,Tunbridge Wells,South East,30119,8098,15474,,,,,,959,"74,816",0.73,Conservative
Walsall North,E14001011,Walsall North,West Midlands,23334,11369,1236,617,,,,,0,"67,177",0.54,Conservative
Walsall South,E14001012,Walsall South,West Midlands,17416,20872,1602,634,,,1660,,288,"68,024",0.62,Labour
Walthamstow,E14001013,Walthamstow,London,5922,36784,2874,1733,,,768,,254,"70,268",0.69,Labour
Wealden,E14001023,Wealden,South East,37043,9377,11388,3099,,,,,0,"83,038",0.73,Conservative
Welwyn Hatfield,E14001027,Welwyn Hatfield,East,27394,16439,6602,1618,,,,,0,"74,892",0.70,Conservative
Suffolk West,E14001034,Suffolk West,East,33842,10648,4685,2262,,,,,0,"80,192",0.64,Conservative
Westminster North,E14001036,Westminster North,London,12481,23240,5593,1064,,,418,,115,"65,519",0.65,Labour
Weston-Super-Mare,E14001038,Weston-Super-Mare,South West,31983,14862,6935,1834,,,,,0,"82,526",0.67,Conservative
Wimbledon,E14001040,Wimbledon,London,20373,12543,19745,,,,,,366,"68,232",0.78,Conservative
Wokingham,E14001048,Wokingham,South East,30734,6450,23351,1382,,,,,80,"83,953",0.74,Conservative
Wolverhampton South East,E14001050,Wolverhampton South East,West Midlands,14287,15522,1019,521,,,2094,,0,"63,006",0.53,Labour
Wolverhampton South West,E14001051,Wolverhampton South West,West Midlands,19864,18203,2041,,,,1028,,0,"60,895",0.68,Conservative
Worcester,E14001052,Worcester,West Midlands,25856,19098,3666,1694,,,,,584,"73,475",0.69,Conservative
Worsley & Eccles South,E14001054,Worsley & Eccles South,North West,17345,20446,2510,1300,,,3224,,0,"75,219",0.60,Labour
Wyre Forest,E14001058,Wyre Forest,West Midlands,32960,11547,4081,1973,,,,,0,"78,079",0.65,Conservative
Belfast East,N06000001,Belfast East,Northern Ireland,,,,,,,,,42445,"66,245",0.64,OTHER
Belfast North,N06000002,Belfast North,Northern Ireland,,,,,,,,,49037,"72,225",0.68,OTHER
Belfast South,N06000003,Belfast South,Northern Ireland,,,,,,,,,47352,"69,984",0.68,OTHER
Antrim East,N06000005,Antrim East,Northern Ireland,1043,,,685,,,,,35533,"64,830",0.57,OTHER
Foyle,N06000008,Foyle,Northern Ireland,,,,,,,,,47143,"74,346",0.63,OTHER
Ulster Mid,N06000010,Ulster Mid,Northern Ireland,,,,,,,,,44620,"70,449",0.63,OTHER
Antrim North,N06000012,Antrim North,Northern Ireland,,,,,,,,,44051,"77,134",0.57,OTHER
Antrim South,N06000014,Antrim South,Northern Ireland,,,,,,,,,42974,"71,711",0.60,OTHER
Down South,N06000015,Down South,Northern Ireland,,,,,,,,,49762,"79,175",0.63,OTHER
Aberdeen North,S14000001,Aberdeen North,Scotland,7535,4939,2846,880,20205,,1008,,0,"62,489",0.60,SNP
Aberdeen South,S14000002,Aberdeen South,Scotland,16398,3834,5018,,20388,,,,0,"65,719",0.69,SNP
Airdrie & Shotts,S14000003,Airdrie & Shotts,Scotland,7011,12728,1419,685,17929,,,,0,"64,008",0.62,SNP
"Ayr, Carrick & Cumnock",S14000006,"Ayr, Carrick & Cumnock",Scotland,17943,6219,2158,,20272,,,,0,"71,970",0.65,SNP
Dunfermline & Fife West,S14000017,Dunfermline & Fife West,Scotland,11207,13028,4262,1258,23727,,,,0,"76,652",0.70,SNP
Dunbartonshire East,S14000018,Dunbartonshire East,Scotland,7455,4839,19523,916,19672,,,208,418,"66,075",0.80,SNP
East Lothian,S14000020,East Lothian,Scotland,15523,17270,4071,,21156,,,493,0,"81,600",0.72,SNP
Renfrewshire East,S14000021,Renfrewshire East,Scotland,19451,6855,4174,,24877,,,,0,"72,232",0.77,SNP
Na h-Eileanan an Iar,S14000027,Na h-Eileanan an Iar,Scotland,3216,4093,637,,6531,,,,0,"21,106",0.69,SNP
Glasgow Central,S14000029,Glasgow Central,Scotland,3698,13276,1952,1429,19750,,,,0,"69,230",0.58,SNP
Glasgow East,S14000030,Glasgow East,Scotland,5709,12791,1626,,18357,,,,0,"67,381",0.57,SNP
Glasgow North,S14000031,Glasgow North,Scotland,3806,11381,2394,1308,16982,,320,,0,"57,130",0.63,SNP
Glasgow North East,S14000032,Glasgow North East,Scotland,3558,13363,1093,,15911,,,,0,"61,075",0.56,SNP
Glasgow North West,S14000033,Glasgow North West,Scotland,6022,11319,2716,,19678,,,,0,"63,402",0.63,SNP
Glasgow South,S14000034,Glasgow South,Scotland,6237,13824,2786,1251,22829,,516,,0,"70,891",0.67,SNP
Glasgow South West,S14000035,Glasgow South West,Scotland,4224,12743,1435,,17643,,802,,0,"64,575",0.57,SNP
Glenrothes,S14000036,Glenrothes,Scotland,6920,9477,2639,,21234,,1276,,0,"65,762",0.63,SNP
Kirkcaldy & Cowdenbeath,S14000041,Kirkcaldy & Cowdenbeath,Scotland,9449,15325,2903,1628,16568,,1132,,0,"72,853",0.65,SNP
Linlithgow & Falkirk East,S14000043,Linlithgow & Falkirk East,Scotland,14285,10517,4393,1184,25551,,1257,,588,"87,044",0.66,SNP
Livingston,S14000044,Livingston,Scotland,12182,11915,3457,1421,25617,,,,0,"82,285",0.66,SNP
Ayrshire North & Arran,S14000048,Ayrshire North & Arran,Scotland,14855,6702,2107,114,23376,,,,0,"73,534",0.64,SNP
Ochil & Perthshire South,S14000050,Ochil & Perthshire South,Scotland,22384,4961,3204,,26882,,,382,0,"78,776",0.73,SNP
Stirling,S14000057,Stirling,Scotland,17641,4275,2867,942,26895,,,,0,"68,473",0.77,SNP
Ynys Mon,W07000041,Ynys Mon,Wales,12959,10991,,,,10418,2184,,0,"51,925",0.70,Conservative
Delyn,W07000042,Delyn,Wales,16756,15891,2346,,,1406,1971,,0,"54,552",0.70,Conservative
Alyn & Deeside,W07000043,Alyn & Deeside,Wales,18058,18271,2548,,,1453,2678,,0,"62,783",0.69,Labour
Cardiff Central,W07000050,Cardiff Central,Wales,8426,25605,6298,,,,1006,,487,"64,037",0.65,Labour
Cardiff North,W07000051,Cardiff North,Wales,19082,26064,3580,820,,1606,1311,,203,"68,438",0.77,Labour
Rhondda,W07000052,Rhondda,Wales,4675,16115,612,438,,4069,3733,,0,"50,262",0.59,Labour
Vale of Clwyd,W07000060,Vale of Clwyd,Wales,17270,15443,1471,,,1552,1477,,0,"56,649",0.66,Conservative
Montgomeryshire,W07000063,Montgomeryshire,Wales,20020,5585,7882,,,,,,727,"48,997",0.70,Conservative
Carmarthen East & Dinefwr,W07000067,Carmarthen East & Dinefwr,Wales,14130,8622,,,,15939,2311,,0,"57,407",0.71,Plaid Cymru
Brecon & Radnorshire,W07000068,Brecon & Radnorshire,Wales,21958,3944,14827,,,,,,590,"55,490",0.74,Conservative
Cynon Valley,W07000070,Cynon Valley,Wales,6711,15533,949,,,2562,3045,,1436,"51,134",0.59,Labour
Bridgend,W07000073,Bridgend,Wales,18193,17036,2368,815,,2013,1811,,0,"63,303",0.67,Conservative
Ogmore,W07000074,Ogmore,Wales,9797,17602,1460,621,,2919,2991,,0,"57,581",0.61,Labour
Bexleyheath & Crayford,E14000558,Bexleyheath & Crayford,London,25856,12753,2819,1298,,,,,520,"65,466",0.66,Conservative
Bromsgrove,E14000605,Bromsgrove,West Midlands,34408,11302,6779,1783,,,,,0,"75,079",0.72,Conservative
Chesterfield,E14000632,Chesterfield,East Midlands,16720,18171,3985,1148,,,4771,,391,"70,994",0.64,Labour
Colchester,E14000644,Colchester,East,26917,17494,7432,1530,,,,,0,"82,625",0.65,Conservative
Eltham,E14000690,Eltham,London,17353,20550,2941,1322,,,1523,,0,"64,084",0.68,Labour
Greenwich & Woolwich,E14000718,Greenwich & Woolwich,London,11721,30185,7253,2363,,,1228,,370,"79,997",0.66,Labour
Harwich & Essex North,E14000734,Harwich & Essex North,East,31830,11648,5866,1945,,,,,674,"74,153",0.70,Conservative
Hastings & Rye,E14000735,Hastings & Rye,South East,26896,22853,3960,,,,,,565,"80,524",0.67,Conservative
Hertford & Stortford,E14000744,Hertford & Stortford,East,33712,14092,8596,2705,,,,681,308,"82,407",0.73,Conservative
Kingston & Surbiton,E14000770,Kingston & Surbiton,London,20614,6528,31103,1038,,,788,124,651,"81,975",0.74,Liberal Democrat
Leeds Central,E14000777,Leeds Central,Yorkshire and The Humber,11143,30413,2343,2105,,,2999,,281,"90,971",0.54,Labour
Lewes,E14000786,Lewes,South East,26268,3206,23811,1453,,,,,113,"71,503",0.77,Conservative
Meriden,E14000812,Meriden,West Midlands,34358,11522,5614,2667,,,,,0,"85,368",0.63,Conservative
Worcestershire Mid,E14000818,Worcestershire Mid,West Midlands,37426,9408,6474,2177,,,,,638,"78,221",0.72,Conservative
Devon North,E14000838,Devon North,South West,31479,5097,16666,1759,,,,,580,"75,853",0.73,Conservative
Portsmouth North,E14000883,Portsmouth North,South East,28172,12392,3419,1304,,,,,623,"71,299",0.64,Conservative
Portsmouth South,E14000884,Portsmouth South,South East,17705,23068,5418,,,,994,,240,"74,186",0.64,Labour
Solihull,E14000931,Solihull,West Midlands,32309,11036,9977,2022,,,,,0,"78,760",0.70,Conservative
Totnes,E14001001,Totnes,South West,27751,8860,15027,,,,,,544,"69,863",0.75,Conservative
Worcestershire West,E14001035,Worcestershire West,West Midlands,34909,9496,10410,2715,,,,,0,"76,267",0.75,Conservative
Westmorland & Lonsdale,E14001037,Westmorland & Lonsdale,North West,23861,2293,25795,,,,763,,0,"67,789",0.78,Liberal Democrat
Moray,S14000046,Moray,Scotland,22112,2432,2269,,21599,,,413,0,"71,035",0.69,Conservative
Perth & Perthshire North,S14000054,Perth & Perthshire North,Scotland,19812,2471,3780,,27362,,651,,0,"72,600",0.74,SNP
Aberconwy,W07000058,Aberconwy,Wales,14687,12653,1821,,,2704,,,0,"44,699",0.71,Conservative
Clwyd West,W07000059,Clwyd West,Wales,20403,13656,2237,,,3907,,,0,"57,714",0.70,Conservative
Altrincham & Sale West,E14000532,Altrincham & Sale West,North West,26311,20172,6036,1566,,,,,678,"73,096",0.75,Conservative
Aylesbury,E14000538,Aylesbury,South East,32737,15364,10081,2394,,,,,0,"86,665",0.70,Conservative
Banbury,E14000539,Banbury,South East,34148,17335,8831,2607,,,,,0,"90,113",0.70,Conservative
Bassetlaw,E14000546,Bassetlaw,East Midlands,28078,14065,3332,,,,5366,,0,"80,035",0.64,Conservative
Batley & Spen,E14000548,Batley & Spen,Yorkshire and The Humber,19069,22594,2462,692,,,1678,,6432,"79,558",0.67,Labour
Beckenham,E14000551,Beckenham,London,27282,13024,8194,2055,,,,,0,"68,671",0.74,Conservative
Berwick-upon-Tweed,E14000554,Berwick-upon-Tweed,North East,23947,9112,7656,1394,,,,,0,"59,939",0.70,Conservative
Bexhill & Battle,E14000557,Bexhill & Battle,South East,37590,11531,7280,2692,,,,,0,"81,968",0.72,Conservative
Birmingham Hall Green,E14000562,Birmingham Hall Green,West Midlands,7381,35889,3673,818,,,877,,4273,"80,283",0.66,Labour
Birmingham Hodge Hill,E14000563,Birmingham Hodge Hill,West Midlands,6742,35397,760,328,,,1519,,257,"78,295",0.57,Labour
Birmingham Perry Barr,E14000566,Birmingham Perry Barr,West Midlands,11277,26594,1901,845,,,1382,,148,"72,006",0.59,Labour
Birmingham Selly Oak,E14000567,Birmingham Selly Oak,West Midlands,15300,27714,3169,1848,,,1436,,0,"82,665",0.60,Labour
Blackley & Broughton,E14000571,Blackley & Broughton,North West,9485,23887,1590,920,,,2736,,0,"73,372",0.53,Labour
Boston & Skegness,E14000582,Boston & Skegness,East Midlands,31963,6342,1963,,,,,,1428,"69,265",0.60,Conservative
Bosworth,E14000583,Bosworth,East Midlands,36056,9778,9096,1502,,,,,0,"81,537",0.69,Conservative
Bournemouth East,E14000584,Bournemouth East,South West,24926,16120,5418,2049,,,,,761,"74,127",0.66,Conservative
Bournemouth West,E14000585,Bournemouth West,South West,24550,14400,4931,2096,,,,,0,"74,211",0.62,Conservative
Braintree,E14000590,Braintree,East,34112,9439,4779,,,,,,2169,"75,208",0.67,Conservative
Brent Central,E14000591,Brent Central,London,10909,31779,4844,1600,,,,,0,"84,204",0.58,Labour
Brent North,E14000592,Brent North,London,18832,26911,4065,850,,,951,,270,"83,772",0.62,Labour
Brentford & Isleworth,E14000593,Brentford & Isleworth,London,18752,29266,7314,1829,,,1165,,0,"85,770",0.68,Labour
Brigg & Goole,E14000596,Brigg & Goole,Yorkshire and The Humber,30941,9000,2180,1281,,,,,0,"65,939",0.66,Conservative
Bromley & Chislehurst,E14000604,Bromley & Chislehurst,London,23958,13067,6621,1546,,,,,374,"66,711",0.68,Conservative
Bury St Edmunds,E14000613,Bury St Edmunds,East,37770,12782,,9711,,,,,1694,"89,644",0.69,Conservative
Canterbury,E14000619,Canterbury,South East,27182,29018,3408,,,,,,505,"80,203",0.75,Labour
Carshalton & Wallington,E14000621,Carshalton & Wallington,London,20822,6081,20193,759,,,1043,,200,"72,926",0.67,Conservative
Suffolk Central & Ipswich North,E14000624,Suffolk Central & Ipswich North,East,35253,11862,6485,2650,,,,,0,"76,201",0.74,Conservative
Charnwood,E14000625,Charnwood,East Midlands,35121,12724,4856,2664,,,,,0,"79,556",0.70,Conservative
Chelmsford,E14000628,Chelmsford,East,31934,10295,14313,,,,,,580,"80,481",0.71,Conservative
Cheltenham,E14000630,Cheltenham,South West,28486,2921,27505,,,,,,445,"81,043",0.73,Conservative
Chippenham,E14000635,Chippenham,South West,30994,6399,19706,,,,,,0,"77,225",0.74,Conservative
Congleton,E14000646,Congleton,North West,33747,15186,6026,1616,,,,,658,"80,930",0.71,Conservative
Copeland,E14000647,Copeland,North West,22856,17014,1888,765,,,,,0,"61,693",0.69,Conservative
Crewe & Nantwich,E14000653,Crewe & Nantwich,North West,28704,20196,2618,975,,,1390,,149,"80,321",0.67,Conservative
Croydon Central,E14000654,Croydon Central,London,21175,27124,3532,1215,,,999,,0,"81,410",0.66,Labour
Croydon North,E14000655,Croydon North,London,11822,36495,4476,1629,,,839,,348,"88,466",0.63,Labour
Croydon South,E14000656,Croydon South,London,30985,18646,7503,1782,,,,442,0,"83,977",0.71,Conservative
Daventry,E14000660,Daventry,East Midlands,37055,10975,7032,2341,,,,,0,"77,521",0.74,Conservative
Dudley South,E14000672,Dudley South,West Midlands,24835,9270,1608,863,,,,,0,"60,731",0.60,Conservative
Dulwich & West Norwood,E14000673,Dulwich & West Norwood,London,9160,36521,,9211,,,571,73,242,"84,663",0.66,Labour
East Ham,E14000679,East Ham,London,8527,41703,2158,883,,,1107,,250,"88,316",0.62,Labour
Hampshire East,E14000680,Hampshire East,South East,33446,6287,13750,2600,,,,616,196,"76,478",0.74,Conservative
Ellesmere Port & Neston,E14000688,Ellesmere Port & Neston,North West,17237,26001,2406,964,,,2138,,0,"70,327",0.69,Labour
Enfield North,E14000691,Enfield North,London,16848,23340,2950,1115,,,797,,0,"68,066",0.66,Labour
Erith & Thamesmead,E14000696,Erith & Thamesmead,London,16124,19882,1984,876,,,2246,,272,"65,399",0.63,Labour
Exeter,E14000698,Exeter,South West,19479,29882,,4838,,,1428,259,306,"82,043",0.68,Labour
Feltham & Heston,E14000701,Feltham & Heston,London,17017,24876,3127,1133,,,1658,,0,"80,932",0.59,Labour
Gosport,E14000713,Gosport,South East,32226,8948,5473,1806,,,,,0,"73,569",0.66,Conservative
Hackney North & Stoke Newington,E14000720,Hackney North & Stoke Newington,London,6784,39972,4283,4989,,,609,,227,"92,451",0.62,Labour
Hackney South & Shoreditch,E14000721,Hackney South & Shoreditch,London,5899,39884,4853,2948,,,744,,111,"89,380",0.61,Labour
Haltemprice & Howden,E14000724,Haltemprice & Howden,Yorkshire and The Humber,31045,10716,5215,1764,,,,,1039,"71,062",0.70,Conservative
Harborough,E14000728,Harborough,East Midlands,31698,14420,9103,1709,,,,,389,"80,480",0.71,Conservative
Harrow East,E14000731,Harrow East,London,26935,18765,3791,,,,,,0,"72,120",0.69,Conservative
Harrow West,E14000732,Harrow West,London,16440,25132,4310,1109,,,931,,0,"72,477",0.66,Labour
Hayes & Harlington,E14000737,Hayes & Harlington,London,15284,24545,1947,739,,,1292,,187,"72,356",0.61,Labour
Henley,E14000742,Henley,South East,32189,5698,18136,2736,,,,,0,"76,660",0.77,Conservative
Hereford & Herefordshire South,E14000743,Hereford & Herefordshire South,West Midlands,30390,10704,6181,2371,,,,,0,"72,085",0.69,Conservative
Hexham,E14000746,Hexham,North East,25152,14603,4672,1723,,,,,0,"61,324",0.75,Conservative
Hitchin & Harpenden,E14000749,Hitchin & Harpenden,East,27719,9959,20824,,,,,,369,"76,321",0.77,Conservative
Hornsey & Wood Green,E14000752,Hornsey & Wood Green,London,6829,35126,15884,2192,,,763,,311,"81,814",0.75,Labour
Horsham,E14000753,Horsham,South East,35900,9424,14773,2668,,,,,477,"86,730",0.73,Conservative
Huddersfield,E14000756,Huddersfield,Yorkshire and The Humber,15572,20509,2367,1768,,,1666,,0,"65,525",0.64,Labour
Ilford North,E14000759,Ilford North,London,20105,25323,2680,845,,,960,,201,"72,963",0.69,Labour
Ilford South,E14000760,Ilford South,London,10984,35085,1795,714,,,1008,,3891,"84,957",0.63,Labour
Ipswich,E14000761,Ipswich,East,24952,19473,2439,1283,,,1432,,0,"75,525",0.66,Conservative
Lancaster & Fleetwood,E14000776,Lancaster & Fleetwood,North West,18804,21184,2018,1396,,,1817,,0,"70,059",0.65,Labour
Leeds North West,E14000780,Leeds North West,Yorkshire and The Humber,13222,23971,9397,1389,,,1304,,0,"67,741",0.73,Labour
Leicester East,E14000782,Leicester East,East Midlands,19071,25090,2800,888,,,1243,,329,"78,432",0.63,Labour
Leicester West,E14000784,Leicester West,East Midlands,13079,17291,1808,977,,,1620,,0,"64,918",0.54,Labour
Lichfield,E14000791,Lichfield,West Midlands,34844,11206,5632,1743,,,,,568,"76,751",0.70,Conservative
Lincoln,E14000792,Lincoln,East Midlands,24267,20753,2422,1195,,,1079,,913,"74,778",0.68,Conservative
Loughborough,E14000797,Loughborough,East Midlands,27954,20785,4153,1504,,,,,235,"79,776",0.68,Conservative
Louth & Horncastle,E14000798,Louth & Horncastle,East Midlands,38021,9153,4114,,,,,,1044,"79,648",0.66,Conservative
Maidenhead,E14000803,Maidenhead,South East,32620,7882,13774,2216,,,,,0,"76,668",0.74,Conservative
Maldon,E14000806,Maldon,East,36304,6263,5990,1851,,,,,0,"72,641",0.69,Conservative
Manchester Central,E14000807,Manchester Central,North West,7734,36823,3420,1870,,,2335,,107,"94,247",0.55,Labour
Manchester Gorton,E14000808,Manchester Gorton,North West,4244,34583,2448,1697,,,1573,,0,"76,419",0.58,Labour
Manchester Withington,E14000809,Manchester Withington,North West,5820,35902,7997,1968,,,1308,,0,"76,530",0.69,Labour
Bedfordshire Mid,E14000813,Bedfordshire Mid,East,38692,14028,8171,2478,,,,,1348,"87,795",0.74,Conservative
Dorset Mid & Poole North,E14000815,Dorset Mid & Poole North,South West,29548,3402,14650,1330,,,,,0,"65,426",0.75,Conservative
Milton Keynes South,E14000822,Milton Keynes South,South East,32011,25067,4688,1495,,,,,746,"96,343",0.66,Conservative
Mole Valley,E14000824,Mole Valley,South East,31656,2965,19615,1874,,,,464,536,"74,665",0.76,Conservative
Morley & Outwood,E14000826,Morley & Outwood,Yorkshire and The Humber,29424,18157,2285,1107,,,,,957,"78,803",0.66,Conservative
Newark,E14000829,Newark,East Midlands,34660,12844,5308,1950,,,,,0,"75,855",0.72,Conservative
Bedfordshire North East,E14000841,Bedfordshire North East,East,38443,14160,7999,1891,,,,,2525,"90,679",0.72,Conservative
Cambridgeshire North East,E14000842,Cambridgeshire North East,East,38423,8430,4298,1813,,,,,0,"83,699",0.63,Conservative
Hampshire North East,E14000844,Hampshire North East,South East,35280,5760,15069,1754,,,,,1407,"78,954",0.75,Conservative
Hertfordshire North East,E14000845,Hertfordshire North East,East,31293,13104,8563,2367,,,,,0,"76,123",0.73,Conservative
Somerset North East,E14000846,Somerset North East,South West,28360,13631,12422,1423,,,,,472,"73,665",0.76,Conservative
Herefordshire North,E14000847,Herefordshire North,West Midlands,32158,6804,7302,4769,,,,,0,"70,252",0.73,Conservative
Norfolk North,E14000848,Norfolk North,East,29792,3895,15397,,,,1739,,0,"70,729",0.72,Conservative
Hampshire North West,E14000857,Hampshire North West,South East,36591,9327,10283,2717,,,,,0,"83,083",0.71,Conservative
Wiltshire North,E14000860,Wiltshire North,South West,32373,5699,14747,1939,,,,,0,"73,283",0.75,Conservative
Nottingham East,E14000865,Nottingham East,East Midlands,8342,25735,1954,1183,,,1343,,1447,"66,262",0.60,Labour
Nottingham North,E14000866,Nottingham North,East Midlands,12847,17337,1582,868,,,2686,,0,"66,495",0.53,Labour
Nottingham South,E14000867,Nottingham South,East Midlands,14018,26586,3935,1583,,,2012,,0,"79,485",0.61,Labour
Old Bexley & Sidcup,E14000869,Old Bexley & Sidcup,London,29786,10834,3822,1477,,,,,226,"66,104",0.70,Conservative
