LOCAL_AUTHORITY_CODE,Total_Population,young_adults,white,christian,english_speaking,single_ethnicity_household,own_home,not_good_health,degree_educated,no_car,private_transport_to_work,professionals
E06000001,92028,0.30910157778067543,0.9683683226844004,0.6992328421784674,0.9542965184509062,0.28493501977658975,0.2650714999782675,0.2400899726170296,0.18341242874392744,0.35287134589701735,0.7219265496332777,0.21066010008737787
E06000002,138412,0.33861948385978097,0.864664913446811,0.6322500939224923,0.922998005953241,0.2608444354535734,0.23884489784122764,0.21863711238909922,0.1952801572009081,0.3756446340226911,0.6865638806900471,0.2040625515610391
E06000003,135177,0.29472469428970904,0.9790348949895322,0.7036034236593504,0.9626637667650562,0.29226125746243814,0.2956198169806994,0.23708175207320772,0.19698517900499657,0.2841204596929788,0.7494055435284097,0.20921318806118466
E06000004,191610,0.3276864464276395,0.9368039246385887,0.6822347476645269,0.9493032722718021,0.2820364281613694,0.2843275403162674,0.20101769218725538,0.23732739061058783,0.25927563511413737,0.7690250453387204,0.24998278276439934
E06000005,105564,0.3182429616157023,0.9399605926262741,0.6737334697434731,0.9461179947709446,0.2814027509378197,0.28861164791027244,0.20195331741881703,0.24787863203908458,0.2796657381615599,0.696209246337781,0.24658260905047538
E06000006,125746,0.32739808820956534,0.9691282426478774,0.7500357864266061,0.9539547977669269,0.28315015984603886,0.27132473398756224,0.21765304661778506,0.18332440341260356,0.2697328931572629,0.75953939941296,0.20093092727999026
E06000007,202228,0.33090373242083193,0.9361957790216983,0.714070257333307,0.9462042842731966,0.28197381173724706,0.3043693257115731,0.1744120497656111,0.2861187453370998,0.19272962179938924,0.7705243118902197,0.2918418339018006
E06000008,147489,0.34938876797591684,0.6708161286604425,0.5261341523774654,0.8707022218606133,0.24660144146343116,0.2514289201228566,0.21349388767975916,0.21210400817531508,0.30516276393562675,0.7259719445500058,0.2338284619070436
E06000009,142065,0.3094569387252314,0.943729982754373,0.6717066131700278,0.9478266990462112,0.26256291134339915,0.2807799246823637,0.26356245380635623,0.16273570060515596,0.367191262603508,0.65054787606441,0.21429850697666847
E06000010,256406,0.3760520424639049,0.8988479208754865,0.5489458125004875,0.9146080824941694,0.26255625843389,0.21953464427509498,0.21949174356294315,0.16195426620462652,0.4063021776972539,0.6229317511699413,0.17058149914790402
E06000011,334179,0.2728986561094503,0.9642048123909641,0.6803030711085974,0.9614996753237037,0.29728678343043696,0.3235960368545001,0.19844753859458553,0.2705889868884371,0.17618435035516528,0.7371832423137248,0.2829733492066492
E06000012,159616,0.3151939655172414,0.9563828187650361,0.6066810344827587,0.9472671912590217,0.2871391339214114,0.2899646651964715,0.2094965417000802,0.1704905770825542,0.3081613037428092,0.7179976263140048,0.18629196337741608
E06000013,167446,0.3055193913261589,0.9271824946549933,0.6602367330363221,0.9338055253634008,0.2899681091217467,0.2945188299511484,0.20501534823166873,0.20596917784337881,0.20679361666006452,0.7805277781334425,0.219920359534449
E06000014,198051,0.3671932986957905,0.9074228355322619,0.5950790452964135,0.9432418922398776,0.26247279741076796,0.2820384648398645,0.16127159166073385,0.3378526680170322,0.26101110685561085,0.5411006776673656,0.306307675165365
E06000015,248752,0.36010966745996015,0.7626270341544993,0.5271475204219463,0.8938862803113141,0.24758795909178619,0.25579291824789346,0.20042049913166526,0.25741846134026153,0.28935866472411537,0.6862802654284749,0.25013787336998095
E06000016,329839,0.4036636055772665,0.45826297072207955,0.32401262434096634,0.783879407832306,0.21468959098226711,0.18780071489423628,0.19457977983197863,0.23463105612229723,0.36852791878172586,0.6031972304246004,0.2122565348306108
E06000017,37369,0.2765126174101528,0.9488613556691375,0.6818753512269529,0.9647836441970618,0.2720971928603923,0.28676175439535445,0.1558243463833659,0.3410926044798811,0.12391681109185441,0.6700116427343793,0.3301546820424683
E06000018,305680,0.42697265113844546,0.6634683328971474,0.44234493588065954,0.8824489662392044,0.2077728343365611,0.18860573148390475,0.20056922271656635,0.23456468214615464,0.43679190682702906,0.5217663003781915,0.23123244980441168
E06000019,183477,0.2832017092060585,0.9408863236263946,0.6780304888351129,0.9442981954141391,0.2858668933980826,0.29313755947611964,0.19135368465802252,0.29015813927646245,0.1637661359312555,0.6865698106098386,0.26050289792435477
E06000020,166641,0.3365318259011888,0.8990884596227819,0.6174470868513751,0.9325856181852005,0.274812321097449,0.25629346919425594,0.19805450039306052,0.22042903844165349,0.20640163343742493,0.7873602817332721,0.23465013014852243
E06000021,249008,0.3493743172910107,0.8668717470924628,0.6089121634646276,0.9217495020240314,0.26867008288890315,0.25841338430893784,0.23367522328599885,0.16290981993376755,0.30885428770625145,0.7508440555365419,0.1790045232126835
E06000022,176016,0.33256067630215436,0.907792473411508,0.565107717480229,0.9488455594945914,0.25737432960639944,0.28086083083356056,0.16069561858012907,0.3478168112644005,0.21979187920832483,0.6108204294232719,0.33391076857809515
E06000023,428234,0.4209917942059715,0.7876137812504378,0.4676275120611628,0.9100678600951816,0.23625401065772453,0.23373436018625332,0.17730259624410952,0.3447828807257764,0.28900064022938815,0.5587609228791162,0.31236934212719353
E06000024,202566,0.28701756464559697,0.9461903774572238,0.6098999832153471,0.951862602805999,0.2821598886288913,0.3204239605856857,0.18921240484582802,0.2956080762632515,0.17172747571605065,0.747373492000041,0.29422014493199267
E06000025,262767,0.32362511274246764,0.9241419204085749,0.5955999040975465,0.9482126751076049,0.27852812567788193,0.30857375545635485,0.15965094551446718,0.27829218106995884,0.13059569640499172,0.7625520943961445,0.27723374178757937
E06000026,256384,0.3584194021467798,0.9336308037943085,0.5808357775836246,0.9440994757863205,0.2713819895157264,0.2535181602596106,0.2045837493759361,0.22414031552223176,0.2784634103945767,0.6606933069994722,0.21859942451432754
E06000027,130959,0.2713368306111073,0.9531150970914561,0.6332058125062042,0.9582541100649822,0.27686527844592584,0.3052711153872586,0.238601394329523,0.21679269030850973,0.2552618200305033,0.6951609502389654,0.24181192015743605
E06000028,183491,0.38767568981584927,0.8453112141739921,0.5712977748227434,0.915723386978108,0.23736314042650594,0.25955496454866994,0.1922492111329711,0.2821754888855202,0.2589773472212106,0.6485210683291099,0.27527863117529655
E06000029,147645,0.30984455958549223,0.9242033255443801,0.6044430898438823,0.9461343086457381,0.27375122760675946,0.3065393342138237,0.1860543872125707,0.2678552998245433,0.17700299071304895,0.7123513087618012,0.2812338758035951
E06000030,209156,0.36466560844537094,0.8552468014305112,0.5751066189829601,0.9223880739734934,0.26472585056130354,0.2821817208208227,0.16558932088967088,0.24112177925176742,0.21570846536894522,0.7074311180924027,0.2509155334751916
E06000031,183631,0.3695617842303315,0.7160501222560461,0.5674532077917127,0.8447103157963525,0.24896667773959735,0.2426932271784176,0.1844078614177345,0.22213360677528388,0.24873350174945624,0.6969583390123121,0.221457453091636
E06000032,203201,0.390544337872353,0.47566695045792096,0.4737722747427424,0.8212262734927486,0.20122932465883533,0.22137686330283807,0.17369009010782427,0.2490574676462803,0.2744403914231489,0.6668983531574758,0.2147733769800787
E06000033,173658,0.3342374091605339,0.8789229404922319,0.5571583226802105,0.9338585034953759,0.2539877229957733,0.2820025567494731,0.19802139838072533,0.23037486301061386,0.27294517796405904,0.5605060303175599,0.2673010486974268
E06000034,157705,0.364807710598903,0.8160489521575093,0.6334041406423385,0.9201864240195301,0.2565042325861577,0.26365682762119147,0.17060334168225486,0.18567188389791023,0.20090452744855902,0.6756910359080341,0.206354947042108
E06000035,263925,0.3445789523538884,0.8623662025196552,0.5783347541915317,0.9303703703703704,0.26209718670076726,0.27646869375769634,0.18029364402765938,0.20208026010777613,0.21872910958581665,0.7072200427819305,0.223602680580003
E06000036,113205,0.35953358950576386,0.8574179585707346,0.605308952784771,0.9297380857735966,0.254264387615388,0.2821960160770284,0.1331301620953138,0.31920237550320996,0.13677579667814638,0.7553057466808799,0.3175210776238008
E06000037,153822,0.3176203663975244,0.9122752272106721,0.6364239185552132,0.9440717192599238,0.2698313635240733,0.28689004173655264,0.13860826149705505,0.33559013140526134,0.12446262431825474,0.7092275860380269,0.3332680370719524
E06000038,155698,0.43798250459222343,0.6679212321288649,0.4999935773099205,0.8781423011214017,0.22078639417333557,0.22870557104137498,0.14525555883826383,0.3756534598981978,0.2834306255865371,0.522040775434554,0.33469418424084557
E06000039,140205,0.4195784743768054,0.3566777219072073,0.41172568738632714,0.7830105916336793,0.20349488249349168,0.19572055204878572,0.16108555329695803,0.2992919508275053,0.23411338297285586,0.6786181277860327,0.23808320950965825
E06000040,144560,0.33135722191477585,0.789540675152186,0.622931654676259,0.9284172661870503,0.23710570005534035,0.27693691200885445,0.13272689540675153,0.40759873964973986,0.13336989494250115,0.6706467796243458,0.38571486524861054
E06000041,154380,0.3189532322839746,0.8452260655525327,0.5953167508744656,0.9413978494623656,0.26097940147687526,0.31598652675217,0.12186164010882239,0.41717416750072095,0.0898693893787708,0.7176720695036681,0.3983189353257063
E06000042,248821,0.3745664554036838,0.7492615173156607,0.5278975649161446,0.9016722865031489,0.24220222569638414,0.25278412995687666,0.14957338809827145,0.3012066806075888,0.1892396332061998,0.7222556991149057,0.2902577025112887
E06000043,273369,0.4271881595938091,0.8186370802834264,0.429002556983418,0.9281484001477855,0.21547432225307186,0.24082833093730452,0.17092647666706906,0.38974654909745626,0.38189073556030934,0.4148030009368988,0.3437417306165652
E06000044,205056,0.39636001872659177,0.8455446317103621,0.521803799937578,0.9193683676654182,0.23725713951310862,0.2327266697877653,0.17467423533083645,0.24971487262210068,0.3338247165771647,0.5918504641944131,0.2507270826649003
E06000045,236882,0.4223917393470167,0.7840443765250209,0.5151003453196106,0.8895483827390853,0.23421365912141912,0.21059430433718054,0.17455526380223066,0.26356270870969506,0.29511266716876666,0.6209860755896561,0.2478598323387326
E06000046,138265,0.26524427729360284,0.953574657360865,0.6051495316963802,0.9640689979387408,0.2769102809821719,0.31229161392977256,0.22660109210573898,0.23692360633172746,0.2252762543996071,0.6421187541105247,0.25992006610566787
E06000047,513242,0.31551003230444896,0.9681456311057941,0.7203521925329571,0.9587660401915665,0.28874293218403796,0.2880415086840126,0.2421956893629126,0.2232200300891667,0.2722304884206199,0.7590283201839452,0.2334901313768682
E06000048,316028,0.2802504841343172,0.9743756882301569,0.685613300087334,0.9647689445239029,0.2969800144291012,0.29021795537104306,0.21700608806814586,0.2657204590956846,0.22047295248819784,0.7236778510697681,0.2604883561037706
E06000049,370127,0.29633612246607244,0.9415822136726043,0.6887906043060895,0.953072864179052,0.2834621629872989,0.3229837326106985,0.17687712595946797,0.3322423488735984,0.1612445983153643,0.742386935783058,0.33166239731472485
E06000050,329608,0.31056588432319604,0.9537086478483532,0.7012147763403801,0.9568244702798476,0.2835337734521007,0.30701014538482074,0.18465571223999416,0.3053093616662709,0.18592073075889765,0.7458816770535414,0.29797424721177984
E06000051,306129,0.28614080992000107,0.9586056858383231,0.6868607678462347,0.9580405645985842,0.28515103110126777,0.2956858056570923,0.18590528829349717,0.28708453883965973,0.15795764763946513,0.7112930188128532,0.2760500968503728
E06000052,532273,0.27866902886300826,0.9612999344321429,0.598108489440569,0.9606029236876565,0.28557713804758084,0.30112555023456006,0.21175036118683457,0.26080205398313205,0.17334594967641684,0.7094676661472966,0.25253652970837576
E06000053,2203,0.30549251021334545,0.9518837948252383,0.5528824330458466,0.9655015887426237,0.27371765773944623,0.19064911484339536,0.1425329096686337,0.34652345958168457,0.4974721941354904,0.2700228832951945,0.2913806254767353
E06000054,470981,0.30104823761468086,0.9386917943611314,0.6404738195383678,0.9503653013603521,0.2790176249148055,0.28142536535444107,0.1620044120675781,0.3076667545188992,0.1475843743884981,0.7042798140592602,0.29107166744699353
E06000055,157479,0.3340889896430635,0.7256269089846901,0.5927520494796131,0.8896932289384616,0.24135916534903065,0.27052495888340666,0.17117202928644454,0.3018708715107607,0.20587036920955307,0.6983643318823374,0.2896715472892758
E06000056,254381,0.32108923229329234,0.9088807733281967,0.622043312983281,0.9468120653665172,0.26959953770132206,0.30118994736242094,0.1533211993034071,0.28433031300643136,0.13237674690370596,0.7491765169126389,0.2941746617093616
E07000004,174137,0.3204086437689865,0.8610059895369737,0.6169395361123713,0.9359125286412422,0.258026726083486,0.2888645147211678,0.14409344366791665,0.33499478118807385,0.13318733250727602,0.7169657422512234,0.3244125038578546
E07000005,92635,0.26472715496302696,0.8711286230906244,0.6320829060290387,0.9473309224375236,0.2559615696011227,0.3095482269120743,0.1340637987801587,0.4273798396918458,0.10875331564986737,0.651490454393212,0.40513564809646085
E07000006,66867,0.28789986091794156,0.7877428327874736,0.6226838350755979,0.9412116589648107,0.240013758655241,0.2969327171848595,0.14274604812538322,0.3900081996017336,0.10224786905031304,0.700365371259474,0.3972280097834949
E07000007,171644,0.33446552166111254,0.7682528955279532,0.5720095080515486,0.9181911398009834,0.2442264221295239,0.2794504905502086,0.14238773274917854,0.35469263166029136,0.13686800960787493,0.7121134916039374,0.3375564562825709
E07000008,123867,0.4757037790533395,0.6741827928342496,0.448174251414824,0.8942575504371625,0.18014483276417448,0.18323685888896962,0.13340114800552205,0.5057613791017692,0.336130496210986,0.35302925786967715,0.4663761629961135
E07000009,83818,0.3254193609964447,0.9036841728507004,0.623290939893579,0.9378653749791215,0.2754300985468515,0.28901906511727793,0.16055023980529243,0.30724214754149803,0.130294100652915,0.750882306063435,0.30847696896559573
E07000010,95262,0.30232411664672165,0.9084524784279145,0.6638743675337491,0.9227498897776658,0.28530788772018223,0.3006550355860679,0.22719447418697908,0.15974008207934337,0.1812900049236829,0.7591544233274925,0.1863009390304174
E07000011,169508,0.3224272600703212,0.9015739670104066,0.608053897161196,0.9411827170399037,0.2760105717724237,0.2944167826887227,0.15552658281615028,0.2942134412855947,0.13616892388905716,0.7382207189491072,0.29218685035565395
E07000012,148755,0.31721958925750393,0.8800107559409768,0.5879667910322343,0.9440556619945548,0.2660818123760546,0.29166750697455546,0.13826089879331788,0.4174875020720823,0.10958972648432289,0.6886490857857693,0.39198119763959616
E07000026,96422,0.27979091908485615,0.9782622223144096,0.7541432453174587,0.9636390035469083,0.29300367136130756,0.3050859762294912,0.20988985916077244,0.23683425235160557,0.2079348211122919,0.7173365743554128,0.23215990971438494
E07000027,69087,0.30448564853011423,0.9740616903324794,0.7067899894336127,0.9625689348213122,0.28540825336170333,0.332537235659386,0.24149261076613546,0.19663074987693485,0.2992890084550346,0.6511501423681095,0.2221262437214064
E07000028,107524,0.31429262304229755,0.9541497712138686,0.6909713180313233,0.9492950411071017,0.28300658457646666,0.30998660764108477,0.1993694431010751,0.23262601654721132,0.24682470729386455,0.672012473549393,0.21463043397557263
E07000029,70603,0.2961772162655978,0.9754401371046556,0.7887341897653074,0.9629760775037888,0.2906108805574834,0.3083013469682591,0.2172145659532881,0.2184105913253354,0.23392061828661254,0.763430725730443,0.23322489434799792
E07000030,52564,0.26598051898637853,0.9730614108515334,0.7070428430104254,0.964500418537402,0.2942127691956472,0.3133132942698425,0.18156913476904346,0.2863214378991856,0.13934817515080503,0.6597356250682787,0.24653144459415172
E07000031,103658,0.256342974010689,0.9593470836790214,0.6805166991452661,0.9631962800748616,0.28766713615929307,0.32991182542591985,0.18148141002141657,0.34715535845566436,0.1534198315861832,0.6502748103421583,0.2971241678278371
E07000032,122309,0.30219362434489694,0.9681707805639814,0.6118437727395367,0.9622104669321145,0.29525218912753765,0.3204179577954198,0.21002542740109068,0.24080950612699592,0.19220092782721118,0.7776393122379213,0.2557383674912851
E07000033,75866,0.31628133814884135,0.96561041836923,0.6517675902248702,0.9559354651622598,0.2942688424327103,0.29070993593968314,0.25715076582395274,0.16588938462833572,0.2335904393158745,0.8005853206224103,0.20483324157514995
E07000034,103788,0.3121844529232667,0.9523451651443327,0.6375977955062242,0.957191582841947,0.2857652137048599,0.2861891548155856,0.23983504836782674,0.21886783272921886,0.2709205915035473,0.7346193190121292,0.23650863238763284
E07000035,71116,0.2496484616682603,0.9724393947916081,0.687173069351482,0.9703442263344395,0.2931829686709039,0.31635637549918444,0.18204060970808256,0.346973437691513,0.148224043715847,0.7138123125267819,0.33160977003285247
E07000036,112081,0.321169511335552,0.9568704776010207,0.5780105459444509,0.9564689822539056,0.2911733478466466,0.31702072608202997,0.20579759281234108,0.2153161518253465,0.22391768668364412,0.7376529142586279,0.23633115166542087
E07000037,90892,0.300279452537077,0.9651784535492672,0.6410245126083703,0.9615367689125556,0.28382035822734675,0.3112265105839898,0.1840315979404128,0.30467227265133373,0.1959636419657988,0.6872725678460256,0.2915515805164628
E07000038,99023,0.2812073962614746,0.9718146289245932,0.6743180877169951,0.9672298354927643,0.2988800581683043,0.31001888450158044,0.22784605596679558,0.23048887771773283,0.1867192941722777,0.7941226684877716,0.25389474582782023
E07000039,94611,0.3253215799431356,0.9439811438416252,0.6396930589466341,0.9555442813203538,0.2884865396201287,0.3122998382851888,0.1795351491898405,0.2695075239398085,0.13461735740664751,0.8162928622144259,0.28231633462807504
E07000040,132457,0.23608416316238479,0.9666155809055014,0.6563186543557532,0.9674158406124251,0.2915059226767932,0.3367281457378621,0.2018541866417026,0.303957522652408,0.15928289685293967,0.6832309541296655,0.2747713160178941
E07000041,117773,0.3921442096235979,0.8885058544827762,0.5390539427542815,0.9289395701901115,0.24581185840557682,0.2539886051981354,0.16724546373107588,0.3007217492054381,0.2705617156086268,0.5409090113582666,0.27567860830606067
E07000042,77750,0.27538263665594853,0.9624694533762058,0.6208745980707395,0.9535434083601286,0.290572347266881,0.29493247588424437,0.1792025723472669,0.2757232870385643,0.14335429513401307,0.7025033759218864,0.2578684948582113
E07000043,93667,0.27307376130334055,0.9624307386806452,0.6130867861680207,0.9591638463920057,0.2847534350411564,0.2952373834968559,0.19774306853000523,0.23939839879031713,0.19022024449388766,0.6285471689681369,0.2481342449836886
E07000044,83140,0.23874188116430117,0.9628578301659851,0.6156001924464758,0.9687996151070484,0.2888501323069521,0.3228289631946115,0.18224681260524417,0.3558785500913995,0.13348526778447012,0.6777169429235731,0.32723318082952074
E07000045,124220,0.2582756399935598,0.9658589599098374,0.6221944936403155,0.9642247625181131,0.2866929640959588,0.3234020286588311,0.2017308001932056,0.29191777927578955,0.1606021887672907,0.7264000542722432,0.28526847800278143
E07000046,63839,0.2531681260671376,0.9742633813186297,0.6282993154654678,0.9644574633061295,0.29340998449223826,0.3163426745406413,0.21632544369429346,0.22615062351950824,0.1626884871006932,0.6812801850214271,0.217672267192708
E07000047,53553,0.2497712546449312,0.9679383041099472,0.6363602412563255,0.9652867253001699,0.2883498590181689,0.3132971075383265,0.19416279200044814,0.3131787290688713,0.12858085808580857,0.6755279109385524,0.29238144289053525
E07000048,47752,0.23913134528396715,0.957300217791925,0.6713226671134194,0.9657605964148098,0.28222901658569277,0.3381847880717038,0.21848299547662925,0.26353846954169485,0.17895227008149012,0.7308506970099995,0.2886064725875573
E07000049,87166,0.2271527889314641,0.9665121721772251,0.668276621618521,0.9711470068604732,0.3003005759126265,0.34970057132368126,0.18904159878851845,0.2887404823684546,0.1032903844106059,0.802247191011236,0.31258426966292135
E07000050,68583,0.27277896854905737,0.9508916203723955,0.6653398072408614,0.9543327063558025,0.2820669845296939,0.29481066736654854,0.1699400726127466,0.28169721782823115,0.12023020579002441,0.7077949270160325,0.2581957406078009
E07000051,44973,0.2567762879950192,0.9668245391679452,0.6501456429413204,0.9666911257865831,0.2902408111533587,0.30636159473461855,0.1910924332377204,0.2691730576858953,0.14461522749323394,0.7106307484009524,0.26145011438442506
E07000052,99264,0.23286387814313347,0.9621917311411993,0.6527341231463571,0.9676922147001934,0.2862870728562218,0.31424282720825275,0.19698984526112184,0.3199536714157617,0.15682872977966025,0.6615697598109989,0.2947018418865118
E07000053,65167,0.2896404621971243,0.9538263231390121,0.6102168275354091,0.9565270765878435,0.28057145487746865,0.29496524314453637,0.20979943836604417,0.2352476392368472,0.24734536534080953,0.6663554206822957,0.23783639577150098
E07000061,99412,0.30530519454391825,0.8840079668450489,0.5958234418380075,0.9346255985192935,0.2513278075081479,0.2824910473584678,0.21527582183237437,0.2592397653311424,0.28683462187861014,0.6402618731580013,0.2659227429188508
E07000062,90254,0.3220577481330467,0.9010791765461919,0.5188911294790258,0.9390719524896404,0.24856516054690098,0.25371728676845345,0.2325769494980832,0.2236170822585268,0.33268543939357126,0.6313343660101792,0.23692557350446264
E07000063,97502,0.26852782507025497,0.9330577834300835,0.5699575393325265,0.9582162417181186,0.2707636766425304,0.3172550306660376,0.19639597136468995,0.30771029251311893,0.20122804106114128,0.6218922955284196,0.29640692260388296
E07000064,90588,0.22116615887313992,0.9479732414889389,0.6480549300128052,0.965911599770389,0.27383317878747737,0.33424956947940127,0.22849604804168322,0.2667453445129064,0.1903515424321746,0.6848309075911981,0.2930580315568209
